tick_space,amount_WHYPE,amount_USD₮0
-240200→-240190,-0.008763729460059684,0.32484351129753763
-240190→-240180,-0.020988163169042836,0.7787426104490963
-240180→-240150,-0.018107524428680785,0.6732046886818555
-240150→-240140,-0.042455202897456946,1.5815667228382384
-240140→-240130,-0.0013359706246583668,0.04981817106165929
-240130→-240100,-0.0008190985694483687,0.030605225487502642
-240100→-240090,-0.0007554251050340029,0.02828260286149661
-240090→-240080,-0.001900967643514611,0.0712421404435183
-240080→-240070,-0.023885303269714716,0.8960397311127539
-240070→-240060,-0.9756587420876147,36.63774370128008
-240060→-240050,-1.1383334372501235,42.7892373235402
-240050→-240030,-0.153660410632104,5.7846681707765
-240030→-240020,-0.004031967303805922,0.15201445005668637
-240020→-240000,-0.8775042490206211,33.13359109425149
-240000→-239990,-2.3870013534733703,90.26582474833197
-239990→-239970,-0.02171837637682844,0.8225256567478434
-239970→-239960,-0.003846546135384935,0.14589635887538466
-239960→-239950,-4.360434615888162e-05,0.0016555319214852642
-239950→-239940,-1.013454035169501,38.51643734734895
-239940→-239930,-1.1530784782132506,43.866722994657835
-239930→-239890,-0.017623327352989153,0.6721247937074586
-239890→-239880,-0.7602017949750521,29.06541849775119
-239880→-239870,-0.5021316611726836,19.21761853990275
-239870→-239860,-0.057782152457587915,2.2136550739342855
-239860→-239840,-2.321667314083921e-05,0.0008907742037146155
-239840→-239820,-0.05919976151709659,2.2759155715298895
-239820→-239780,-1.3329483347711752,51.3987224882468
-239780→-239760,-0.051789248520991815,2.0030022444842395
-239760→-239740,-0.01458934887956212,0.5653876034256853
-239740→-239720,-0.6562855213723571,25.484243195922215
-239720→-239700,-0.10780325699419215,4.194491758110102
-239700→-239690,-0.05872495470301517,2.2883453258538347
-239690→-239680,-0.28948083724331486,11.291534484411462
-239680→-239660,-0.21584189747127994,8.431800153748476
-239660→-239650,-0.01912333236784056,0.7481687023981701
-239650→-239640,-1.5792906622625988,61.84894611675195
-239640→-239620,-0.02574482672576377,1.0097447843407454
