tickLower,tickUpper,amount_WHYPE,amount_USD₮0,liquidityGross
-243040,-243000,-0.004625801201707142,0.1292677356486506,12227289609378
-243000,-242980,-0.9719384922798783,27.2423631067873,5145925274414728
-242980,-242950,-0.007999106070966018,0.22476730212420531,28269472731088
-242950,-242930,-0.09352917791369936,2.6346593819786968,496429398305859
-242930,-242920,-0.0002644764287851389,0.007461321267830988,2809655422168
-242920,-242900,-0.0023124711708097604,0.06533659603437626,12292440407135
-242900,-242890,-0.009152474531571387,0.2589823190896505,97376918519691
-242890,-242870,-0.055848266414813386,1.5826784622112637,297319155284779
-242870,-242850,-0.0006535023787719291,0.018556613141542853,3482528177714
-242850,-242840,-0.0011267744023783755,0.0320434982366744,12018220073373
-242840,-242810,-0.0643166511318508,1.8327149355596284,228896728329708
-242810,-242800,-0.07679831826194565,2.1927632869074545,820773706855530
-242800,-242760,-0.008987438352856168,0.25725371062925195,24043098291162
-242760,-242750,-0.0004214853077411668,0.012094665054538465,4515853537459
-242750,-242730,-0.009532394305545672,0.2739459050061522,51104024357285
-242730,-242720,-0.022967554463249718,0.6610418853647717,246447020290437
-242720,-242710,-0.028074090483673438,0.8088243019537477,301391950025040
-242710,-242690,-0.13988032950660054,4.036050133057334,751412291849831
-242690,-242680,-0.0001988212253791253,0.005745317855418269,2137667272964
-242680,-242650,-0.03569212354167265,1.0334566107420704,128045031603444
-242650,-242640,-0.005383251674998339,0.156182758784104,57995005237518
-242640,-242630,-0.07573747789770958,2.199548371305769,816345274132568
-242630,-242620,-2.735063482687131e-05,0.0007951047761591944,294949450645
-242620,-242610,-0.8883978935066558,25.85227363429483,9585280734598222
-242610,-242570,-0.08637634342801176,2.5198327782756893,233278607282037
-242570,-242560,-0.007400248786471187,0.21642573853400804,80044098779260
-242560,-242550,-0.03254151155143259,0.9526526559763904,352158242071390
-242550,-242540,-0.052669674303599735,1.543447160579496,570266558418477
-242540,-242510,-0.3229125681485114,9.481665446495644,1166581814632750
-242510,-242500,-1.0790455984366436,31.74738962392436,11706460786849173
-242500,-242460,-0.02201594107051903,0.649368414291909,59786874885327
-242460,-242430,-0.032843641778915585,0.9721318400420813,119129316834477
-242430,-242410,-0.04345410890804392,1.2894080921030708,236718562953223
-242410,-242400,-0.0003278223380000929,0.009742030735744976,3574338872753
-242400,-242370,-0.251368011092573,7.484960391581777,914492549873128
-242370,-242360,-0.07898763150582207,2.356715372208177,862948380374008
-242360,-242350,-0.022612950670727584,0.6753665569670387,247172470433002
-242350,-242340,-0.00014196871897550039,0.004244331065499941,1552575265100
-242340,-242320,-0.27804643982814314,8.325020977302001,1521503771770677
-242320,-242310,-0.01887521824230095,0.5659934285158436,206729945564079
-242310,-242300,-2.547989428532293,76.48060268004386,27920691280542594
-242300,-242290,-0.13229191545517077,3.9748546952064574,1450370593858161
-242290,-242250,-0.024918289774787293,0.7505711485592335,68382770952574
-242250,-242230,-0.04049629663264976,1.223465596973089,222600036455314
-242230,-242210,-2.1518114111224115e-10,6.514021754006366e-09,1183991
-242210,-242200,-0.00863485818172314,0.2617891340943946,95094438373983
-242200,-242190,-7.515544384111487,228.0820586254365,82808990251535500
-242190,-242180,-0.03189676001869379,0.9689726611540284,351625815481181
-242180,-242170,-0.01138785138788992,0.34629085026814277,125601003369349
-242170,-242150,-0.009069474082957068,0.2762057650307225,50052885280942
