tick,price_1_per_0,liquidityNet,L_active_after_tick
-240240,36.90039427162184,1324419214528408,688723727456737148
-240230,36.9373112754997,96554147683187,688820281604420335
-240220,36.974265212998525,10060361241775659,698880642846195994
-240210,37.011256121068556,1173797318172313,700054440164368307
-240200,37.048284036697005,106716920439008,700161157084807315
-240190,37.08534899690808,255703039368774,700416860124176089
-240180,37.12245103876305,73609441053186,700490469565229275
-240150,37.23398002536029,518275792776994,701008745358006269
-240140,37.27123076514552,16317140355200,701025062498361469
-240130,37.308518772437836,-1235167846156,701023827330515313
-240100,37.420606772386684,9245003915371,701033072334430684
-240090,37.45804422292337,23275957039800,701056348291470484
-240080,37.49551912776194,292604309670063,701348952601140547
-240070,37.533031524373555,11958178592260702,713307131193401249
-240060,37.570581450266864,13888896336951924,727196027530353173
-240050,37.60816894298804,942848503529977,728138876033883150
-240030,37.68345677928654,49516808128388,728188392842011538
-240020,37.72115719814418,5392380926691097,733580773768702635
-240000,37.79667122575953,29358895619685856,762939669388388491
-239990,37.83448491002374,133662660123386,763073332048511877
-239970,37.91022580851475,47381565355422,763120713613867299
-239960,37.9481530984749,537384794636,763121250998661935
-239950,37.98611833279684,13554177559685311,776675428558347246
-239940,38.024121549442015,-12885959826185528,763789468732161718
-239930,38.06216278640984,54420253193567,763843888985355285
-239890,38.21470869882747,9401657817668252,773245546803023537
-239880,38.25294060873177,6213127877549823,779458674680573360
-239870,38.29121076775493,715325222225529,780173999902798889
-239860,38.32951921416328,143815436950,780174143718235839
-239840,38.406251122392334,367079175816378,780541222894052217
-239820,38.48313664031598,4138800247477027,784680023141529244
-239780,38.637369735908365,322093691133142,785002116832662386
-239760,38.714717930447996,90826544477618,785092943377140004
-239740,38.7922209684265,3949414812106913,789042358189246917
-239720,38.86987915982511,669638775534965,789711996964781882
-239700,38.94769281524565,733202321915494,790445199286697376
-239690,38.9866580391972,2743404514207495,793188603800904871
-239680,39.02566224591173,1349117336525541,794537721137430412
-239670,39.06470547438955,13177701374376342,807715422511806754
-239660,39.103787763669985,239239705942811,807954662217749565
-239650,39.14290915283142,19767369968287366,827722032186036931
-239640,39.18206968099133,161239889406771,827883272075443702
-239620,39.260508310972256,38031906387823,827921303981831525
-239610,39.29978649122405,975568074495684,828896872056327209
