tick_L,tick_U,price_L,price_U,L_active
-243490,-243480,26.661977446157096,26.688651424693095,18196712880759986
-243480,-243410,26.688651424693095,26.87611797898492,18217745905344713
-243410,-243380,26.87611797898492,26.956863353225803,18227361917687547
-243380,-243370,26.956863353225803,26.983832350402924,18247414728537316
-243370,-243360,26.983832350402924,27.010828328716507,18763188734100885
-243360,-243350,27.010828328716507,27.037851315159838,32455108536338031
-243350,-243320,27.037851315159838,27.11908259360634,32482036395681900
-243320,-243270,27.11908259360634,27.255010747495277,32592548557750575
-243270,-243260,27.255010747495277,27.282278026268777,32629520161447170
-243260,-243240,27.282278026268777,27.33689444976458,33033899020769140
-243240,-243200,27.33689444976458,27.44645552567886,33056986635506406
-243200,-243190,27.44645552567886,27.473914335403673,33089260390437290
-243190,-243180,27.473914335403673,27.501400616297975,33091276053663750
-243180,-243160,27.501400616297975,27.556455701556658,34259114225268295
-243160,-243140,27.556455701556658,27.611621001653315,34337656410017460
-243140,-243100,27.611621001653315,27.72228312935907,34628856438429055
-243100,-243070,27.72228312935907,27.80557068330723,34658762075524320
-243070,-243060,27.80557068330723,27.833388769834595,34659207869143549
-243060,-243040,27.833388769834595,27.88910846255647,34690598837285838
-243040,-243000,27.88910846255647,28.00088270725215,34702826126895216
-243000,-242980,28.00088270725215,28.05693770627837,39848751401309944
-242980,-242950,28.05693770627837,28.141230681064314,39877020874041032
-242950,-242930,28.141230681064314,28.19756664285937,40373450272346891
-242930,-242920,28.19756664285937,28.225776901791516,40376259927769059
-242920,-242900,28.225776901791516,28.28228211676227,40388552368176194
-242900,-242890,28.28228211676227,28.310577129300455,40485929286695885
-242890,-242870,28.310577129300455,28.367252105943372,40783248441980664
-242870,-242850,28.367252105943372,28.42404054028667,40786730970158378
-242850,-242840,28.42404054028667,28.452477375056677,40798749190231751
-242840,-242810,28.452477375056677,28.537958691053493,41027645918561459
-242810,-242800,28.537958691053493,28.566509495251108,41848419625416989
-242800,-242760,28.566509495251108,28.680998634504533,41872462723708151
-242760,-242750,28.680998634504533,28.709692543030744,41876978577245610
-242750,-242730,28.709692543030744,28.767166509275594,41928082601602895
-242730,-242720,28.767166509275594,28.79594662446246,42174529621893332
-242720,-242710,28.79594662446246,28.824755532719017,42475921571918372
-242710,-242690,28.824755532719017,28.882459843694154,43227333863768203
-242690,-242650,28.882459843694154,28.99821525187855,43229471531041167
-242650,-242640,28.99821525187855,29.027226519807684,43287466536278685
-242640,-242630,29.027226519807684,29.056266812063296,44103811810411253
-242630,-242620,29.056266812063296,29.085336157682786,44104106759861898
-242620,-242610,29.085336157682786,29.114434585732585,53689387494460120
-242610,-242570,29.114434585732585,29.231119704582156,53922666101742157
-242570,-242560,29.231119704582156,29.260363981798953,54002710200521417
-242560,-242550,29.260363981798953,29.289637516456395,54355228743948831
-242550,-242540,29.289637516456395,29.318940337825104,54925495302367308
-242540,-242510,29.318940337825104,29.40702481534432,56092077117000058
-242510,-242500,29.40702481534432,29.436445076850294,67798537903849231
-242500,-242460,29.436445076850294,29.55442075253057,67858324778734558
-242460,-242430,29.55442075253057,29.64321269659041,67977454095569035
-242430,-242410,29.64321269659041,29.70255547789534,68197620466243074
-242410,-242400,29.70255547789534,29.732271403088127,68201194805115827
-242400,-242370,29.732271403088127,29.82159767347253,69115687354988955
-242370,-242360,29.82159767347253,29.851432694444174,69978635735362963
-242360,-242350,29.851432694444174,29.881297563866124,70086032921212972
-242350,-242340,29.881297563866124,29.911192311600274,70087585496478072
-242340,-242320,29.911192311600274,29.971071561602113,71444949472122617
-242320,-242310,29.971071561602113,30.001056123743073,71651679417686696
-242310,-242300,30.001056123743073,30.03107068394283,98606477305459947
-242300,-242290,30.03107068394283,30.061115272212934,100056847899318108
-242290,-242250,30.061115272212934,30.18159450727964,100125230670270682
